Individual	Bestfit	f3	se
AG18354	PTV	0.263999143610632	0.000278954474052402
Ai	PTV	0.2639573341121	0.000277559371167341
Akira	PTV	0.263895292252597	0.00027798195533806
Ayumu	PTV	0.263931245009289	0.000278524308705662
C	PTV	0.263856397525451	0.000277783250900135
Carl	PTV	0.263967658770033	0.000277408188929866
Carolina	PTV	0.263911686854981	0.000276826888733061
CH114	PTT	0.243218702713458	0.00027274674150078
CH391	PTV	0.263625649004265	0.000277746614378917
D	PTV	0.264480949056585	0.000276925648659854
Donald	PTV	0.259526566430732	0.000285661615222375
E	PTV	0.264439422052282	0.000276472911258938
F	PTV	0.264480251132967	0.000276539888960352
Frits	PTV	0.263705740052959	0.000276256208787515
G	PTV	0.264112314516935	0.000277136464934438
H	PTV	0.26408968577032	0.000277602785892642
I	PTV	0.26399865708148	0.000276307089947777
Loretta	PPA	0.264721970805672	0.000272398713056462
Mhudiblu	PPA	0.264719648195724	0.000272844242372074
PD_0257	PTV	0.264014817888091	0.0002783344465207
PD_0258	PTV	0.263997147189125	0.000278032676415571
PD_0259	PTS	0.248399108939529	0.000274565396624423
PD_0427	PTV	0.263956978870851	0.000278270063727507
PR00251	PPA	0.264642643639765	0.000273346356397194
Simliki	PTV	0.263991294065881	0.00027763934784449
Vernon	PPA	0.264729975774242	0.00027374155424366
BanjoCaptive	GGG	0.470063807244258	0.000853727069978519
DianCaptive	GGG	0.467815390700361	0.000849779807609343
Dolly	GGG	0.468579643535621	0.000854950026543619
Efata	GGG	0.469685569412238	0.000855578505141667
KB3781	GGG	0.468410827802242	0.000857157682276662
Mawenzi	GGG	0.469385587799554	0.000855846578313081
MimiCaptive	GGG	0.470082146938361	0.000850632900033837
Mutasi	GGG	0.469795990353855	0.000855180874690272
Omoye	GGG	0.46769248037888	0.000851089312804596
PD_0179	GBG	0.501287586078314	0.00087138084512811
PD_0180	GGG	0.468655859862074	0.000853321567247225
PD_0181	GGG	0.469128336704	0.000853487549223589
PD_0182	GGG	0.465167127801871	0.000839653474511193
PD_0183	GGG	0.468778520868831	0.000853390761219997
PD_0184	GGG	0.468767262996938	0.000854136264697141
PD_0185	GGG	0.469284203900524	0.000850998599839186
PD_0186	GGG	0.469025829363989	0.000853278384768778
PD_0187	GGG	0.466833275615608	0.000859712557480268
PD_0188	GGG	0.468598270559398	0.000854517552368104
PD_0189	GGG	0.468762404849451	0.000851304791230232
PD_0190	GGG	0.468904343214008	0.000852834167519305
PD_0191	GGG	0.468990120470511	0.00085471720686963
PD_0192	GGG	0.469057071102858	0.000856007080510276
PD_0193	GGG	0.468248365546506	0.000850469555450224
PD_0194	GGG	0.468818759925859	0.00085340547756611
PD_0195	GGG	0.468623094945896	0.00084926333874062
PD_0196	GGG	0.468684175954829	0.000854101031227409
PD_0197	GGG	0.469201508959153	0.000855498796011377
PD_0198	GGG	0.468644388618787	0.000856046043894101
PD_0260	GGG	0.46861579055968	0.000852942341476414
PD_0264	GGG	0.469283707760874	0.000855570079600034
Trib	GGG	0.468320278485173	0.00085616550118483
Undi	GGG	0.468707460335422	0.000839048825562225
AG05252	PP	0.517571173034614	0.000815666934617343
AG06213	PA	0.503222558253261	0.000803802502636431
Aris	PA	0.483928846455725	0.000762198283106332
BO51	PA	0.503049650197072	0.000803147526137318
Ogan	PA	0.490500678217822	0.000773782087093419
ORAN23	PP	0.510036763690339	0.00079872219131395
PD_0262	PP	0.517456326509949	0.000812523829614184
PD_0263	PA	0.502985395261934	0.000798718854158711
PPY6	PP	0.516735002306626	0.000807103549297935
Schubbi	PA	0.48354404053859	0.000762877068426284
Susie	PA	0.502650007538325	0.000842630588503823
