File	md5sum	Population	Name
Bwiruka_1.g.vcf.gz	56812bc5da8b7e6213ceb7c3f6cfd707	Gorilla_beringei_beringei	Bwiruka
Bwiruka_2.g.vcf.gz	c89d9bff198386f2b4c7cf5be4e92ce2	Gorilla_beringei_beringei	Bwiruka
Bwiruka_3.g.vcf.gz	e056b1d37b24ccbd05c0252b7c23000e	Gorilla_beringei_beringei	Bwiruka
Bwiruka_4.g.vcf.gz	62af49701de96f90a355ad02a225053f	Gorilla_beringei_beringei	Bwiruka
Bwiruka_5.g.vcf.gz	d6c1d1167c5e5d4377afe8d0f35ad1b9	Gorilla_beringei_beringei	Bwiruka
Bwiruka_6.g.vcf.gz	fe37a3fb0d2d75137b2f57c5f8411178	Gorilla_beringei_beringei	Bwiruka
Bwiruka_7.g.vcf.gz	439c447d95e5a517f1f9624bba026ba4	Gorilla_beringei_beringei	Bwiruka
Bwiruka_8.g.vcf.gz	4610a9cc14e2a2f6deb5002c7e60ca51	Gorilla_beringei_beringei	Bwiruka
Bwiruka_9.g.vcf.gz	387ada63e66debf37a7f1c354c5211cd	Gorilla_beringei_beringei	Bwiruka
Bwiruka_10.g.vcf.gz	f41cf79e7f8282877662d78055282ead	Gorilla_beringei_beringei	Bwiruka
Bwiruka_11.g.vcf.gz	d200d8b42a1653e5e151a3d80fbb763d	Gorilla_beringei_beringei	Bwiruka
Bwiruka_12.g.vcf.gz	e02d7c9bdd2848fbeb305fcd769d90cf	Gorilla_beringei_beringei	Bwiruka
Bwiruka_13.g.vcf.gz	e1584ba88fc05d381c7c85fb7d2fd7c4	Gorilla_beringei_beringei	Bwiruka
Bwiruka_14.g.vcf.gz	8027c05e798ad409f515d448ece10a04	Gorilla_beringei_beringei	Bwiruka
Bwiruka_15.g.vcf.gz	3be1f0ec645b78ee4aefb1c06d663cf9	Gorilla_beringei_beringei	Bwiruka
Bwiruka_16.g.vcf.gz	d0fec537e52abac75823bde072ec0a33	Gorilla_beringei_beringei	Bwiruka
Bwiruka_17.g.vcf.gz	ce817c447c07947d686c981011750a68	Gorilla_beringei_beringei	Bwiruka
Bwiruka_18.g.vcf.gz	88189d8a0f7811b25bd9607786ac5a37	Gorilla_beringei_beringei	Bwiruka
Bwiruka_19.g.vcf.gz	1d6e8917b48085c4dec4f91fd3287dd9	Gorilla_beringei_beringei	Bwiruka
Bwiruka_20.g.vcf.gz	dce3c548e2d0ec36cddcf889f62e2d85	Gorilla_beringei_beringei	Bwiruka
Bwiruka_21.g.vcf.gz	b94039bec19a208a85b7a531928d1118	Gorilla_beringei_beringei	Bwiruka
Bwiruka_22.g.vcf.gz	bbf02bc8ad9cbc0868ca68dffb398172	Gorilla_beringei_beringei	Bwiruka
Bwiruka_X.g.vcf.gz	a8299b6969d2daa78c4d9da352f9e94d	Gorilla_beringei_beringei	Bwiruka
Bwiruka.merge.cram	5415afbd5c3973709d3aa7d3f067591d	Gorilla_beringei_beringei	Bwiruka
Imfura_1.g.vcf.gz	281527a010f67a5c3f3ca081bdb3bfcb	Gorilla_beringei_beringei	Imfura
Imfura_2.g.vcf.gz	c2a1677385ca29d40e1b4e69b2f3b61e	Gorilla_beringei_beringei	Imfura
Imfura_3.g.vcf.gz	3d03fc3512e7ac848721f7788ebe7875	Gorilla_beringei_beringei	Imfura
Imfura_4.g.vcf.gz	3aabcabbf71993a886aa1cb2a08560b4	Gorilla_beringei_beringei	Imfura
Imfura_5.g.vcf.gz	19d77bbaa0688b3394eae9b2df1bbd4e	Gorilla_beringei_beringei	Imfura
Imfura_6.g.vcf.gz	17c63513b3750ffe39ffd5d0fa88c8e5	Gorilla_beringei_beringei	Imfura
Imfura_7.g.vcf.gz	ed77febbb55a66aab43152f068e09164	Gorilla_beringei_beringei	Imfura
Imfura_8.g.vcf.gz	7019a8644e2393c158889c8cce4b1e30	Gorilla_beringei_beringei	Imfura
Imfura_9.g.vcf.gz	8ede045c59b5864508e9352ae473a204	Gorilla_beringei_beringei	Imfura
Imfura_10.g.vcf.gz	27fc1edc1aedce2bfb9ff0c9a05a974f	Gorilla_beringei_beringei	Imfura
Imfura_11.g.vcf.gz	b78bbd89b6fc94e766fd16d2bcac0310	Gorilla_beringei_beringei	Imfura
Imfura_12.g.vcf.gz	8ddca4efb22914a1d20357ca08225ed9	Gorilla_beringei_beringei	Imfura
Imfura_13.g.vcf.gz	2e2dcca4cb8f87ed4c4af5574043e617	Gorilla_beringei_beringei	Imfura
Imfura_14.g.vcf.gz	84a8fe70e35afafc7f39a33539f3ad1a	Gorilla_beringei_beringei	Imfura
Imfura_15.g.vcf.gz	f2e04c18df4dc369d7c5194f20cfd095	Gorilla_beringei_beringei	Imfura
Imfura_16.g.vcf.gz	b6a212d8b173beaeb3e61a9a73f08419	Gorilla_beringei_beringei	Imfura
Imfura_17.g.vcf.gz	7991a28cca33450acc6c1cb3ff68ecc9	Gorilla_beringei_beringei	Imfura
Imfura_18.g.vcf.gz	78c4a1895a2ec244cfd4ac6f92b776e6	Gorilla_beringei_beringei	Imfura
Imfura_19.g.vcf.gz	4e2ef33b1579a204a545bfe67b528d80	Gorilla_beringei_beringei	Imfura
Imfura_20.g.vcf.gz	8901a08920631ba37429c6b5cf9f6e24	Gorilla_beringei_beringei	Imfura
Imfura_21.g.vcf.gz	d00c30e8d146ae9c91ffcd2f69050987	Gorilla_beringei_beringei	Imfura
Imfura_22.g.vcf.gz	45a1d50423ceb8c1d35e9c0fd320152b	Gorilla_beringei_beringei	Imfura
Imfura_X.g.vcf.gz	fe8c4dc0670b970559b9701bbf556bb6	Gorilla_beringei_beringei	Imfura
Imfura_Y.g.vcf.gz	7abb0480ed9b0688f0a9a560a1e862f1	Gorilla_beringei_beringei	Imfura
Imfura.merge.cram	d3953e9146f4fcfb771d7cc438b8e576	Gorilla_beringei_beringei	Imfura
Kaboko_1.g.vcf.gz	c61130d91373a113710ecd0d79329d4b	Gorilla_beringei_beringei	Kaboko
Kaboko_2.g.vcf.gz	a7f8dadc3a9cfe63f8b28b6b594f45cc	Gorilla_beringei_beringei	Kaboko
Kaboko_3.g.vcf.gz	049d768d3ef961975d00316db78a5580	Gorilla_beringei_beringei	Kaboko
Kaboko_4.g.vcf.gz	356641d6215f031731391f0d8e3283c2	Gorilla_beringei_beringei	Kaboko
Kaboko_5.g.vcf.gz	ec32fe257a3a419bf86329c0be6d4004	Gorilla_beringei_beringei	Kaboko
Kaboko_6.g.vcf.gz	9a45b613dea6bbc4ef57e3cf3598dbf3	Gorilla_beringei_beringei	Kaboko
Kaboko_7.g.vcf.gz	bae598cb5dbd45895ee26c036668f0e4	Gorilla_beringei_beringei	Kaboko
Kaboko_8.g.vcf.gz	77540e8730c89ed17496223f0614e10e	Gorilla_beringei_beringei	Kaboko
Kaboko_9.g.vcf.gz	f8bebc3dbe101edd4aaaf39ace77d25e	Gorilla_beringei_beringei	Kaboko
Kaboko_10.g.vcf.gz	8fcb43a16c510b0166b8e276565019d8	Gorilla_beringei_beringei	Kaboko
Kaboko_11.g.vcf.gz	ab29d39e64a53fe908db98de902a6cf6	Gorilla_beringei_beringei	Kaboko
Kaboko_12.g.vcf.gz	2461933bddb82093c657fe8ec86cdb52	Gorilla_beringei_beringei	Kaboko
Kaboko_13.g.vcf.gz	d28e9e66974a662f29ab7c432332e01f	Gorilla_beringei_beringei	Kaboko
Kaboko_14.g.vcf.gz	553a77549e2625c9329ef5a017b4ca05	Gorilla_beringei_beringei	Kaboko
Kaboko_15.g.vcf.gz	c863d07f8fea7b13b07a69f9c5b9b903	Gorilla_beringei_beringei	Kaboko
Kaboko_16.g.vcf.gz	39ff095435c8ab1e7ead2c09178c639c	Gorilla_beringei_beringei	Kaboko
Kaboko_17.g.vcf.gz	df704517cbb6e4518df7218601a947fa	Gorilla_beringei_beringei	Kaboko
Kaboko_18.g.vcf.gz	d85a6b42e7e31f402270d746400336b6	Gorilla_beringei_beringei	Kaboko
Kaboko_19.g.vcf.gz	853b9beb80fccbd37c7b65909e900011	Gorilla_beringei_beringei	Kaboko
Kaboko_20.g.vcf.gz	39087c6e7fec551308671954aed20d2f	Gorilla_beringei_beringei	Kaboko
Kaboko_21.g.vcf.gz	60c299acf9fe6936b7a4128c30b98b94	Gorilla_beringei_beringei	Kaboko
Kaboko_22.g.vcf.gz	dfc03d5761ccb255c8035842963dc379	Gorilla_beringei_beringei	Kaboko
Kaboko_X.g.vcf.gz	9c9e3363151518ddb56ebdc5711aae8f	Gorilla_beringei_beringei	Kaboko
Kaboko_Y.g.vcf.gz	4cf0ec90afe288c9463fbef32f205685	Gorilla_beringei_beringei	Kaboko
Kaboko.merge.cram	f7bcd702dc0c1c03e370696fb0afbb9b	Gorilla_beringei_beringei	Kaboko
Kahungye_1.g.vcf.gz	62a58d01b23217692874c7e44fbad5ea	Gorilla_beringei_beringei	Kahungye
Kahungye_2.g.vcf.gz	d48920c2ff9debad5739f61953cf425f	Gorilla_beringei_beringei	Kahungye
Kahungye_3.g.vcf.gz	914e8675a76901210c8dc3993604b6c3	Gorilla_beringei_beringei	Kahungye
Kahungye_4.g.vcf.gz	288873c5f4f17302b7a268bbfa7f59ad	Gorilla_beringei_beringei	Kahungye
Kahungye_5.g.vcf.gz	8dbc5a1c953fe1a36e09efa9aaf61e58	Gorilla_beringei_beringei	Kahungye
Kahungye_6.g.vcf.gz	c205f00d3760abf14ad6141d2f23f6ce	Gorilla_beringei_beringei	Kahungye
Kahungye_7.g.vcf.gz	d32484af0bde614dead661a2dc3ae6e7	Gorilla_beringei_beringei	Kahungye
Kahungye_8.g.vcf.gz	b9d1cd3e626c38b236c54a4c9ff8d758	Gorilla_beringei_beringei	Kahungye
Kahungye_9.g.vcf.gz	de3d4bed3f47fa7d609985cec2224e79	Gorilla_beringei_beringei	Kahungye
Kahungye_10.g.vcf.gz	e2c726cffc7200e9bac7089a32b9786e	Gorilla_beringei_beringei	Kahungye
Kahungye_11.g.vcf.gz	f0ba7e068924a513d2801af3e31960f7	Gorilla_beringei_beringei	Kahungye
Kahungye_12.g.vcf.gz	e1e7f70997f2757b2022eee14a7c123e	Gorilla_beringei_beringei	Kahungye
Kahungye_13.g.vcf.gz	4db25ccd6c5c3091405011aad70ebb36	Gorilla_beringei_beringei	Kahungye
Kahungye_14.g.vcf.gz	98ce961d71779d0a0580b97838e2a695	Gorilla_beringei_beringei	Kahungye
Kahungye_15.g.vcf.gz	c5147164d3827e453537ee89831d9576	Gorilla_beringei_beringei	Kahungye
Kahungye_16.g.vcf.gz	386d8148f6725731ac423d5fefe7f179	Gorilla_beringei_beringei	Kahungye
Kahungye_17.g.vcf.gz	d14f518a40030c099b4fbc8d06f0a695	Gorilla_beringei_beringei	Kahungye
Kahungye_18.g.vcf.gz	1477e89c475eeb10c1a9392d481fc179	Gorilla_beringei_beringei	Kahungye
Kahungye_19.g.vcf.gz	69b5ba377d1f61c0424774c8d3c627af	Gorilla_beringei_beringei	Kahungye
Kahungye_20.g.vcf.gz	6365ccd8d780c460d8e214b858dcbcdc	Gorilla_beringei_beringei	Kahungye
