Species	Species_label	Name	Average_coverage	Sex
Gorilla_beringei_beringei	GBB	Bwiruka	18.91	F
Gorilla_beringei_beringei	GBB	Imfura	29.82	M
Gorilla_beringei_beringei	GBB	Kaboko	33.7	M
Gorilla_beringei_beringei	GBB	Kahungye	27.75	F
Gorilla_beringei_beringei	GBB	Katungi	28.65	F
Gorilla_beringei_beringei	GBB	Maisha	20.66	F
Gorilla_beringei_beringei	GBB	Nyamunwa	27.24	F
Gorilla_beringei_beringei	GBB	Semehe	30.19	F
Gorilla_beringei_beringei	GBB	Tuck	30.81	F
Gorilla_beringei_beringei	GBB	Turimaso	22.05	F
Gorilla_beringei_beringei	GBB	Umurimo	20.36	F
Gorilla_beringei_beringei	GBB	Zirikana	29.17	M
Gorilla_beringei_graueri	GBG	Dunia	24.34	F
Gorilla_beringei_graueri	GBG	Itebero	27.62	F
Gorilla_beringei_graueri	GBG	Kaisi	23.99	M
Gorilla_beringei_graueri	GBG	Mkubwa	14.48	M
Gorilla_beringei_graueri	GBG	Mukokya	29.57	M
Gorilla_beringei_graueri	GBG	Ntabwoba	26.65	M
Gorilla_beringei_graueri	GBG	Pinga	19.45	F
Gorilla_beringei_graueri	GBG	Tumani	21.88	F
Gorilla_beringei_graueri	GBG	Victoria	27.43	F
Gorilla_gorilla_diehli	GGD	Afi18	12.27	M
Gorilla_gorilla_diehli	GGD	Kag12	14.31	F
Gorilla_gorilla_diehli	GGD	Nyango	15.9	F
Gorilla_gorilla_gorilla	GGG	Abe	14.3	M
Gorilla_gorilla_gorilla	GGG	Akiba	16.3	F
Gorilla_gorilla_gorilla	GGG	Amani	27.47	F
Gorilla_gorilla_gorilla	GGG	Anthal	16.99	F
Gorilla_gorilla_gorilla	GGG	Azizi	15.07	M
Gorilla_gorilla_gorilla	GGG	Banjo	41.72	M
Gorilla_gorilla_gorilla	GGG	Bulera	15.39	F
Gorilla_gorilla_gorilla	GGG	Choomba	17.58	F
Gorilla_gorilla_gorilla	GGG	Coco	19.59	F
Gorilla_gorilla_gorilla	GGG	delphi	27.41	F
Gorilla_gorilla_gorilla	GGG	Dian	27.17	F
Gorilla_gorilla_gorilla	GGG	Helen	12.52	F
Gorilla_gorilla_gorilla	GGG	Katie986	12.06	F
Gorilla_gorilla_gorilla	GGG	KatieB650	12.44	F
Gorilla_gorilla_gorilla	GGG	Kokomo	12.49	F
Gorilla_gorilla_gorilla	GGG	Kolo	19.86	F
Gorilla_gorilla_gorilla	GGG	Kowali	15.12	F
Gorilla_gorilla_gorilla	GGG	Mimi	63.1	F
Gorilla_gorilla_gorilla	GGG	naA2	14.61	F
Gorilla_gorilla_gorilla	GGG	Oko	12.88	F
Gorilla_gorilla_gorilla	GGG	Paki	15.65	F
Gorilla_gorilla_gorilla	GGG	Sandra	17.76	F
Gorilla_gorilla_gorilla	GGG	Suzie	15.3	F
Gorilla_gorilla_gorilla	GGG	Tzambo	16.68	M
Pan_paniscus	PPA	Bono	28.08	M
Pan_paniscus	PPA	Catherine	16.85	F
Pan_paniscus	PPA	Chipita	20.76	F
Pan_paniscus	PPA	Desmond	31.99	M
Pan_paniscus	PPA	Dzeeta	32.87	F
Pan_paniscus	PPA	Hermien	30.74	F
Pan_paniscus	PPA	Hortense	29.23	F
Pan_paniscus	PPA	Kombote	27.95	F
Pan_paniscus	PPA	Kosana	29.25	F
Pan_paniscus	PPA	Natalie	29.48	F
Pan_troglodytes_ellioti	PTE	Akwaya	19.06	M
Pan_troglodytes_ellioti	PTE	Basho	12.27	M
Pan_troglodytes_ellioti	PTE	Damian	17.26	M
Pan_troglodytes_ellioti	PTE	Julie66	17.74	F
Pan_troglodytes_ellioti	PTE	Koto	18.5	M
Pan_troglodytes_ellioti	PTE	Paquita	11.66	F
Pan_troglodytes_ellioti	PTE	Taweh	17.64	F
Pan_troglodytes_ellioti	PTE	Tobi	11.77	F
Pan_troglodytes_schweinfurthii	PTS	Andromeda	18.52	F
Pan_troglodytes_schweinfurthii	PTS	Athanga	20.91	M
Pan_troglodytes_schweinfurthii	PTS	Bihati	30.69	F
Pan_troglodytes_schweinfurthii	PTS	Bwambale	35.22	M
Pan_troglodytes_schweinfurthii	PTS	CindyB7	32.45	F
Pan_troglodytes_schweinfurthii	PTS	Cleo	57.04	F
Pan_troglodytes_schweinfurthii	PTS	CocoB014	21.04	F
Pan_troglodytes_schweinfurthii	PTS	Diana	23.44	M
Pan_troglodytes_schweinfurthii	PTS	Frederike	21.31	F
Pan_troglodytes_schweinfurthii	PTS	Ikuru	32.01	F
Pan_troglodytes_schweinfurthii	PTS	Kidongo	42.42	F
Pan_troglodytes_schweinfurthii	PTS	Maya	32.77	F
Pan_troglodytes_schweinfurthii	PTS	Nakku	33.63	F
Pan_troglodytes_schweinfurthii	PTS	Padda	20.58	M
Pan_troglodytes_schweinfurthii	PTS	Tongo	33.59	M
Pan_troglodytes_schweinfurthii	PTS	Trixie	31.74	F
Pan_troglodytes_schweinfurthii	PTS	Vincent	18.64	M
Pan_troglodytes_schweinfurthii	PTS	Washu	33.4	M
Pan_troglodytes_troglodytes	PTT	Alfred	26.77	M
Pan_troglodytes_troglodytes	PTT	Blanquita	21.64	F
Pan_troglodytes_troglodytes	PTT	Brigitte	27.12	M
Pan_troglodytes_troglodytes	PTT	Cindy	24.32	F
Pan_troglodytes_troglodytes	PTT	Clara	16.27	F
Pan_troglodytes_troglodytes	PTT	Doris	25.21	F
Pan_troglodytes_troglodytes	PTT	Gamin	22.9	M
Pan_troglodytes_troglodytes	PTT	JulieA959	18.98	F
Pan_troglodytes_troglodytes	PTT	Lara	27.28	F
